Accession,Gene Symbol
Q96EX2,RNFT2
Q96IV6,FAXDC2
Q96JB5,CDK5RAP3
Q96SB4,SRPK1
Q99675,CGRRF1
Q9BQ87,TBL1Y
Q9BQB6,VKORC1
Q9BW04,SARG
Q9BWW7,SCRT1
Q9BYE7,PCGF6
Q9BYG0,B3GNT5
Q9GZU8,PSME3IP1
Q9H0I9,TKTL2
Q9H8W4,PLEKHF2
Q9NRS4,TMPRSS4
Q9NUI1,DECR2
Q9NUV7,SPTLC3
Q9NV35,NUDT15
Q9P1T7,MDFIC
Q9UBN6,TNFRSF10D
Q9UN72,PCDHA7
Q9Y4F1,FARP1
A0A411D538,SCPPPQ1
A2RUB1,MEIOC
A6NKQ9,CGB1
B2RXF0,TMEM229A
O14545,TRAFD1
O15021,MAST4
O15050,TRANK1
O15533,TAPBP
O43187,IRAK2
O43237,DYNC1LI2
O60931,CTNS
O75643,SNRNP200
O94911,ABCA8
O94956,SLCO2B1
O95445,APOM
O95785,WIZ
P01871,IGHM
P02679,FGG
P0C0S8,H2AC11
P0C7I0,USP17L8
P0DSO3,GAGE4
P13224,GP1BB
P17152,TMEM11
P19801,AOC1
P19971,TYMP
P22459,KCNA4
P29371,TACR3
P29972,AQP1
P31641,SLC6A6
P35452,HOXD12
P48509,CD151
P49207,RPL34
P49720,PSMB3
P50539,MXI1
P56747,CLDN6
P61513,RPL37A
P62318,SNRPD3
P81172,HAMP
P82675,MRPS5
Q02539,H1-1
Q07890,SOS2
Q13242,SRSF9
Q13405,MRPL49
Q13526,PIN1
Q14103,HNRNPD
Q14642,INPP5A
Q15116,PDCD1
Q15834,CCDC85B
Q38SD2,LRRK1
Q3KNW5,SLC10A6
Q3MUY2,PIGY
Q3ZCV2,CIMAP2
Q53GT1,KLHL22
Q5THR3,EFCAB6
Q6NUK1,SLC25A24
Q6PB30,CSAG1
Q6ZMT1,STAC2
Q86VK4,ZNF410
Q86W67,FAM228A
Q86YH6,PDSS2
Q8IUF8,RIOX2
Q8IWE2,FAM114A1
Q8N4B5,PRR18
Q8N4L1,TMEM151A
Q8N5M4,TTC9C
Q8N5M9,JAGN1
Q8NC60,NOA1
Q8NE22,SETD9
Q8NGH9,OR52E4
Q8WTW3,COG1
Q8WXS8,ADAMTS14
Q8WYQ5,DGCR8
Q92905,COPS5
Q92979,EMG1
Q969I6,SLC38A4
Q96EY4,TMA16
Q96GM5,SMARCD1
Q96P44,COL21A1
Q96RT1,ERBIN
Q96S90,LYSMD1
Q9BQ31,KCNS3
Q9BT23,LIMD2
Q9BY71,LRRC3
Q9H008,LHPP
Q9H0W7,THAP2
Q9H346,OR52D1
Q9H6Z4,RANBP3
Q9HCH3,CPNE5
Q9HCJ1,ANKH
Q9NV23,OLAH
Q9NZQ3,NCKIPSD
Q9P2M1,LRP2BP
Q9UK28,TMEM59L
Q9UKV0,HDAC9
Q9UL19,PLAAT4
Q9UPR3,SMG5
Q9Y5N6,ORC6
Q9Y5U5,TNFRSF18
Q9Y6L7,TLL2
Q9Y6W8,ICOS
A0A0A0MS01,TRGV10
A0A286YF18,SMIM44
A0A5A2,TRBV5-8
A4D256,CDC14C
A6NCF6,MAGEA13P
A6NEH6,TMEM247
A6NJG6,ARGFX
O14929,HAT1
O14958,CASQ2
O43248,HOXC11
O60721,SLC24A1
O60879,DIAPH2
P00325,ADH1B
P01298,PPY
P05023,ATP1A1
P06493,CDK1
P0DV74,FAM90A17
P12524,MYCL
P17516,AKR1C4
P19875,CXCL2
P20774,OGN
P26436,ACRV1
P29350,PTPN6
P30085,CMPK1
P49407,ARRB1
P51784,USP11
P51828,ADCY7
P56559,ARL4C
P59797,SELENOV
P61081,UBE2M
Q07020,RPL18
Q13117,DAZ2
Q14957,GRIN2C
Q15327,ANKRD1
Q15349,RPS6KA2
Q15560,TCEA2
Q15661,TPSAB1
Q16352,INA
Q538Z0,LUZP6
Q5BN46,PIERCE1
Q5JXM2,METTL24
Q5T6J7,IDNK
Q63HN1,SPATA31F2P
Q6YHU6,THADA
Q6ZR08,DNAH12
Q6ZS02,DNM1P46
Q7L0Y3,TRMT10C
Q7RTY5,PRSS48
Q7Z7K2,ZNF467
Q86TW2,ADCK1
Q86YL5,TDRP
Q8IVV8,NKAIN4
Q8IWU9,TPH2
Q8IXQ3,C9orf40
Q8IZD4,DCP1B
Q8N127,OR5AS1
Q8N1V2,CFAP52
Q8N4C8,MINK1
Q8N6N6,NATD1
Q8N8F6,YIPF7
Q8NGI3,OR56B1
Q8TAE8,GADD45GIP1
Q8TBJ4,PLPPR1
Q8TD06,AGR3
Q8TDU6,GPBAR1
Q8TE12,LMX1A
Q8WUM9,SLC20A1
Q8WXF5,CRYGN
Q92575,UBXN4
Q96C11,FGGY
Q96DC9,OTUB2
Q96G97,BSCL2
Q96GW7,BCAN
Q96JA4,MS4A14
Q96LC7,SIGLEC10
Q96MH2,HEXIM2
Q9BR61,ACBD6
Q9BSU3,NAA11
Q9BXS6,NUSAP1
Q9BXU9,CALN1
Q9BYE0,HES7
Q9GZV9,FGF23
Q9H4L5,OSBPL3
Q9H6T3,RPAP3
Q9HC10,OTOF
Q9NP99,TREM1
Q9NRV9,HEBP1
Q9NWD8,TMEM248
