Accession,Gene Symbol
Q8VIK1,Snrnp25
Q91YE2,Egln2
Q920N7,Syt12
Q922B9,Itprid2
Q99JY6,Higd1b
Q99MI6,Gimap3
Q99MV1,Tdrd1
Q99PL6,Ubxn6
Q9CQN3,Tomm6
Q9CQY8,Tm4sf20
Q9D1U0,Grifin
Q9D902,Gtf2e2
Q9D976,Trp53tg5
Q9ERZ6,Fign
Q9JIZ0,Nat8f1
Q9JLI7,Spag6
Q9QX15,Clca3a1
Q9R059,Fhl3
Q9R226,Khdrbs3
Q9WTP7,Ak3
Q9Z1B3,Plcb1
A0A1B0GSZ0,Spaar
A0A3B2WB67,Vmn2r18
A0A571BDD5,Cldn34c5
A1A546,Isx
A2AU83,Zfp1005
A2BG94,Ctag2l2
B2RXC5,Znf382
C0HKD3,Spata31f1d
D3YV92,Garin2
D3Z7A9,Lilra5
E9PYY2,Or52a5
F8VQ03,Adam3
J3QME2,Gm20914
K7N6U8,Gm8094
O08529,Capn2
O54907,Tnfsf12
O70324,Slc16a2
O88286,Wiz
P08043,Zfp2
P0DM40,Fer1l5
P11862,Gas2
P15702,Spn
P15945,Klk1b5
P16406,Enpep
P24527,Lta4h
P28651,Ca8
P33174,Kif4
P35639,Ddit3
P41160,Lep
P56942,Pmch
P57785,Lefty2
P59509,Adamts19
P97474,Pitx2
Q06831,Sox4
Q3UV55,Nr1d1
Q4FZH1,Entrep1
Q5SXC4,Vezf1
Q60847,Col12a1
Q60987,Foxg1
Q60997,Dmbt1
Q64131,Runx3
Q6A152,Cyp4x1
Q6DFV6,Fndc3c1
Q6P1B1,Xpnpep1
Q6P2K6,Ppp4r3a
Q6ZQ38,Cand1
Q71B07,Dpy19l3
Q7TNB4,Mro
Q7TQZ8,Or4c1
Q7TR28,Or5d14
Q80YT9,Rbm11
Q8BGB7,Enoph1
Q8BGD8,Coa6
Q8BH43,Wasf2
Q8BI71,Exoc3l1
Q8BJW6,Eif2a
Q8BKG3,Ptk7
Q8BM75,Arid5b
Q8BQM9,Med12l
Q8BSY0,Asph
Q8BVP2,Ldhal6b
Q8BXA5,Clptm1l
Q8BXS7,Gpr152
Q8C0D4,Arhgap12
Q8C0M8,Dnai1
Q8C0Y1,Tgif2
Q8CDN1,N/A
Q8CI11,Gnl3
Q8N9S3,Ahsa2
Q8VCZ9,Prodh2
Q8VFI7,Or7e173
Q8VGH3,Or6z1
Q8VHP9,Asb17
Q91YH5,Atl3
Q91YT0,Ndufv1
Q99JB6,Foxp3
Q99L45,Eif2s2
Q99LQ7,Peds1
Q99M71,Epdr1
Q99MR8,Mccc1
Q99MY0,Spz1
Q99N20,Brms1
Q9CQR6,Ppp6c
Q9CQY1,Atg12
Q9CY64,Blvra
Q9CZV2,Shld3
Q9D131,Cfap68
Q9D4U4,H2al3
Q9D892,Itpa
Q9D8B1,Aig1
Q9DBM0,Abcg8
Q9DCN7,Rnft1
Q9JIG4,Ppp1r3f
Q9JK83,Pard6b
Q9JM05,Pias4
Q9QUG3,Prnd
Q9QXX8,Nufip1
Q9R0K7,Atp2b2
Q9Z138,Ror2
Q9Z2M7,Pmm2
A0A0G2JF87,Trgj4
A0A0R4J1Z0,Mrgpra2a
A0ABA7IXB7,Gm1096
A1KXC4,Fcmr
B1AYI3,Gm13287
D3Z6Q9,Bin2
E9PX82,Or7e177
E9Q3K0,Ccdc121rt2
E9Q7F5,Eddm13
E9Q7P9,Cdhr2
E9Q9D5,Rabl2
F6VAN0,Atf6
G3UYD9,Gm19345
G5E8A8,Tekt5
J3QK54,Fignl2
M0QWQ9,Gm17174
O35134,Polr1a
O70423,Aoc3
P01910,H2-Aa
P04925,Prnp
P15116,Cdh2
P15327,Bpgm
P22777,Serpine1
P36536,Sar1a
P42232,Stat5b
P52800,Efnb2
P60229,Eif3e
P60840,Ensa
Q149M0,Clec12b
Q3KNI6,Dnaaf6
Q3SXA2,Vmn1r11
Q3TVW5,Tchp
Q3U0M1,Trappc9
Q3U1G5,Isg20l2
Q3U9G9,Lbr
Q4QQP3,Zfp729a
Q501J6,Ddx17
Q5D1E7,Zc3h12a
Q5NBU5,Fbxo39
Q5SUC9,Sco1
Q60682,Klra8
Q61210,Arhgef1
Q61711,Ibsp
Q6PGC7,Slc35e3
Q6PHN1,Ccdc57
Q710D3,Unc93a
Q7TNL5,Ppp2r5d
Q7TRR2,Or52ab7
Q80UM7,Mogs
Q80WT4,Gpr176
Q810N9,Ccdc172
Q8BFU8,Slc17a8
Q8BG47,Rnf152
Q8BGE4,Susd6
Q8BIF9,Znf787
Q8BNQ3,Gpr137b
Q8BS95,Gpr89
Q8C6J9,Nlrp4b
Q8C8Y5,Samd7
Q8CGN4,Bcor
Q8CIG9,Fbxl8
Q8JZS7,Hmgcll1
Q8K441,Abca6
Q8R2Q8,Bst2
Q8R3Z5,Cacnb1
Q8R4G9,Chrna3
Q8VBS7,Vmn1r42
Q8VC74,Cox18
Q8VEC3,Adgrf1
Q8VED2,Bloc1s4
Q8VF94,Or4c104
Q8VFL5,Or5m5
Q91VB1,Cma2
Q920M5,Coro6
Q921G6,Lrch4
Q922H9,Znf330
Q99LC2,Cstf1
Q99LC9,Pex6
Q99N50,Sytl2
Q99P86,Retnlb
Q9CR75,Tnfrsf12a
Q9CWB7,N/A
Q9D009,Lipt2
Q9D1L0,Chchd2
Q9D6G9,Cmtm5
Q9D7E3,Ovca2
Q9D7P3,Krtap4-13
Q9ESG4,Cltrn
Q9QY96,Casr
Q9QZ19,Or13c7d
Q9QZS0,Col4a3
Q9R0Q3,Tmed2
Q9WTK3,Gpaa1
Q9WTR0,Mmp16
Q9WTX7,Fhl5
Q9WTY4,Aqp5
Q9WU62,Incenp
Q9Z1D1,Eif3g
Q9Z2Q5,Mrpl40
Q9Z2Q6,Septin5
A0A0G2JDP5,Traj30
A0A1B0GR91,Gm4779
A0A1B0GSJ4,Pom121l12
A0A7N9VSG0,Afg2b
A0A9L6KDW9,Gm68765
A2A4L9,Krtap4-26
B1AQ75,Krt36
B1AVD1,Xpnpep2
B9EK86,Vmn1r180
E9Q1P8,Irf2bp2
E9Q6R7,Utrn
G3UVW3,Slc38a6
K7N678,Or8c15
L7MU53,Or4c116
O08786,Cckar
O09159,Man2b1
O35160,Pitx3
O35744,Chil3
O54786,Dffa
O55098,Stk10
O55234,Psmb5
P06327,Ighv1-84
P33215,Nedd1
P35279,Rab6a
P42682,Txk
P50404,Sftpd
P55050,Fabp2
P56546,Ctbp2
P60879,Snap25
P70347,Tank
P82019,Defb4
P97304,Polr1d
P97445,Cacna1a
Q03347,Runx1
Q05738,Sry
Q2YDW7,Kmt5a
Q3U1D0,Lins1
Q3V3I5,Gm525
Q4VAC9,Plekhg3
Q56A04,Eme2
Q56A10,Znf608
Q58A65,Spag9
Q61592,Gas6
Q63739,Ptp4a1
Q64520,Guk1
Q64733,Foxb2
Q68FG3,Spty2d1
Q692V3,Ttc41
Q6A009,Ltn1
Q6NVF9,Cpsf6
Q6PGB6,Naa50
Q6Y7W8,Gigyf2
Q75NR7,Recql4
Q7TN51,Mrgprb8
Q7TS37,Or5ac23
Q80X68,Csl
Q8BIJ6,Iars2
Q8BN82,Slc17a5
Q8C5K5,N/A
Q8CF02,Fam25a
Q8CGP6,H2ac12
Q8CHQ6,Tmem125
Q8CIB6,Tmem230
Q8R079,Bfar
Q8R0A2,Zbtb44
Q8R2E4,Vmn1r37
Q8R2V3,Znf445
Q8R4H4,Cpa5
Q8R4I4,Gtf2a1l
Q8VCG4,C8g
Q8VCK3,Tubg2
Q8VD37,Sgip1
Q8VF30,Or9a7
